Citation No.,Year,Authors,Title,Publisher,Methodology,Dataset,Performance/Accuracy,Salient Features,Limitations,Summary
1,2024,"D. Srivastava, S. Puri, S. D. Bhagat, and M. Verma","Emotify: An AI-Powered Emotion-Based Music Recommendation System",IEEE,"CNN-based facial emotion detection connected to a music recommendation layer","Facial emotion images and music metadata","Prototype-level emotion-aware recommendation with practical CNN integration","Direct mapping from detected mood to song suggestions; deployable demo architecture","Primarily image-centric and limited in multimodal fusion depth","Demonstrates that emotion-aware recommendation can be implemented in a lightweight end-to-end academic system."
2,2025,"A. Chikaraddi, S. G. Janakki, S. G. Kanakaraddi, and P. S. M.","Emotion-Driven Music Recommender System with Deep Learning and Streamlit Integration",IEEE,"Deep learning-based emotion detection wrapped in a Streamlit user interface","FER-style facial emotion data with curated music recommendations","Functional real-time pipeline and usable recommendation loop","Combines deep learning inference with modern lightweight app deployment","Still centered on a narrow input path and focused mostly on music response","Shows the feasibility of deployable emotion-aware recommendation using a web interface familiar to Python students."
3,2025,"M. A. Talaghat, E. Parvinnia, and R. Boostani","Content-based music recommender system based on music emotion using deep learning",Springer,"Deep learning for content-based music emotion understanding","Emotion-annotated music content datasets","Improved content-level recommendation relevance over simpler feature pipelines","Useful when user history is weak but content metadata is available","Focuses on item emotion rather than a broader lifestyle adaptation framework","Important for understanding how music-side emotion intelligence complements user-side mood detection."
4,2023,"B. Pan, K. Hirota, Z. Jia, and Y. Dai","A review of multimodal emotion recognition from datasets, preprocessing, features, and fusion methods",Elsevier,"Comprehensive survey of preprocessing, feature extraction, and fusion strategies","Survey across IEMOCAP, MELD, DEAP and related MER datasets","Survey paper synthesizing trends rather than a single benchmark","Strong reference for multimodal pipeline design and dataset choices","No directly deployable end-to-end system is validated","Provides conceptual backbone for choosing multiple modalities, fusion strategies, and evaluation criteria."
5,2024,"X. Zhu, C. Guo, H. Feng, and Y. Huang","A Review of Key Technologies for Emotion Analysis Using Multimodal Information",Springer,"Taxonomy of multimodal emotion analysis technologies and fusion methods","Speech, text, image, and physiological datasets","Survey paper summarizing performance trends and open issues","Highlights missing-modality handling, efficiency, synchronization, and cross-domain transfer","Does not directly present a low-resource practical system","Supports the need for fusion-aware and deployment-aware design in affective computing projects."
6,2024,"M. P. A. Ramaswamy and S. Palaniswamy","Multimodal emotion recognition: A comprehensive review, trends, and challenges",Wiley,"Comprehensive review of multimodal emotion recognition","Multiple multimodal emotion benchmarks","Survey-led trend analysis rather than direct experimentation","Emphasizes explainability, lightweight models, and generalization challenges","Broad review, so system-building details remain abstract","Reinforces the need for practical trade-offs between accuracy, transparency, and real-world deployability."
7,2023,"Z. Gou and Y. Li","Integrating BERT Embeddings and BiLSTM for Emotion Analysis of Dialogue",Wiley,"BERT word and sentence embeddings fused with BiLSTM sequence modeling","Dialogue emotion datasets","Outperformed baseline dialogue emotion classifiers on evaluated corpora","Captures context-sensitive emotion better than shallow text models","Text-only orientation and heavier inference demands than rule-based methods","Useful for motivating the optional free API upgrade path for richer text emotion understanding."
8,2026,"X. Du and L. Zhu","Self-Learning Multimodal Emotion Recognition Based on Multi-Scale Dilated Attention",MDPI,"EEG and facial analysis using multi-scale dilated attention with self-learning fusion","FER2013, CK+, and DEAP","High reported accuracy on multimodal DEAP and strong facial branch results","Shows the power of adaptive decision-level fusion in emotion recognition","Requires modalities and computation that may not fit low-cost student deployment","A strong advanced benchmark that inspires fusion design while revealing the cost of sophisticated architectures."
9,2025,"J. Wu, J. Wu, Y. Zheng, P. Zhan, and M. Han","MLGAT: multi-layer graph attention networks for multimodal emotion recognition in conversations",Springer,"Graph attention modeling over text, speech, and image modalities","Conversation-centric multimodal corpora such as MELD","Improved robustness and accuracy over traditional multimodal baselines","Models cross-utterance and cross-modality relationships effectively","Less suitable for low-resource single-file deployment","Important for understanding why relationship-aware multimodal fusion remains a future-scope direction."
10,2024,"B. Liu, J. Guo, C. L. P. Chen, X. Wu, and T. Zhang","Fine-Grained Interpretability for EEG Emotion Recognition: Concat-Aided Grad-CAM and Systematic Brain Functional Network",IEEE,"Grad-CAM-based interpretability with graph learning over brain functional networks","EEG emotion recognition benchmarks","State-of-the-art subject-dependent performance with improved interpretability","Shows that explainability can be deeply integrated into affective models","EEG-centric setup is not straightforward for everyday student use","Supports the argument that emotion AI must provide interpretable evidence, not only class labels."
